version,author,changed_artifact,artifact_version,prompt_hash,tools_hash,reason,hypothesis,metric_name,metric_before,metric_after,run_file
v0,Nguyễn Tuấn Anh,baseline,v0+peb1c8179815b+t6cdb53d5d7b8,peb1c8179815b,t6cdb53d5d7b8,Initial baseline run,Default starter prompt guessing missing args and calling tools for everything,case_accuracy,0,0.3158,runs/v0_B_base_groq_20260729T103610706427.json
v1,Đỗ Hùng Anh,system_prompt.md & tools.yaml,v1+p874619d3505c+tc356f7d17ed5,p874619d3505c,tc356f7d17ed5,Fix clarify boundaries & handle mapping,Enforce clarify for missing handles/URLs and confirmation before send; add weather tool declaration,case_accuracy,0.3158,0.5,runs/v1_B_base_groq_20260729T104342209305.json
v2,Đỗ Hùng Anh,system_prompt.md,v2+p8e27f64dc383+tc356f7d17ed5,p8e27f64dc383,tc356f7d17ed5,Precision matrix & parallel tool routing,Add explicit critical boundary rules and matrix for parallel tool calls and out of scope,case_accuracy,0.5,0.7222,runs/v2_B_base_groq_20260729T104955419562.json
v3,Đỗ Hùng Anh,system_prompt.md,v3+p8cb0d9cc2679+tc356f7d17ed5,p8cb0d9cc2679,tc356f7d17ed5,Fine-tune strict tool selection & parameters,Refine tool routing rules and multi-turn carry-over context,case_accuracy,0.7222,0.5,runs/v3_B_base_groq_20260729T110241121357.json
